ids,labels,colors,values,percentage,parents,
Mollusca,Mollusca<br>40% (90),#084594,90,40%,,
Arthropoda,Arthropoda<br>24% (53),#2171b5,53,24%,,
Echinodermata,Echinodermata<br>20% (45),#4292c6,45,20%,,
Cnidaria,Cnidaria<br>9% (19),#6baed6,19,9%,,
Chordata,Chordata<br>4% (9),#9ecae1,9,4%,,
Annelida,Annelid<br>2% (4),#c6dbef,4,2%,,
Other,Other<br>1% (3),#deebf7,3,1%,,
,,,,,,
,,,,,,
,,,,,,
