ids,labels,parents,colors,values,percentage,
DNA Methylation,DNA Methylation<br>48% (106),,#7f2704,106,48%,
Non-coding RNA,Non-coding RNA<br>42% (93),,#d94801,93,42%,
Histone Modifications,Histone<br>Modifications<br>4% (10),,#f16913,10,4%,
RNA Methylation,RNA Methylation<br>2% (5),,#fee6ce,5,2%,
Multiple,Multiple<br>4% (9),,#fdae6b,9,4%,
