ids,labels,colors,parents,values,percentage
No,No<br>88% (197),#9370DB,,197,88%
Yes - P & O Exposed,Yes<br>P & O Exposed<br>7% (15),#BCA9F5,,15,7%
Yes - P only Exposed,Yes<br>P Exposed<br>4% (10),#E6E6FA,,10,4%
Yes - P & O Exposed; P only Exposed,Yes<br>P Exposed; <br> P & O Exposed<br>1% (1),#F8F8FF,,1,1%
,,,,,
,,,,,
,,,,,
